Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00091,OID00091,CID1597,US374761770,NFLX,Sell,454,172.26,78206.04,EUR,3/31/2024,3/29/2024,Goldman Sachs,Trader D,Completed,No,3910.3,Initial,,,,,Failed,Coupon Rate
TID00095,OID00095,CID1583,US690396527,BABA,Sell,836,814.11,680595.96,EUR,4/14/2024,04/12/2024,Citibank,Trader A,Completed,No,34029.8,Variation,,,,,Failed,Coupon Rate
TID00099,OID00099,CID4865,US449602380,ADBE,Sell,532,146.46,77916.72,EUR,2/20/2024,2/18/2024,Citibank,Trader A,Completed,Yes,3895.84,Initial,,,,,Satisfied,Coupon Rate
TID00103,OID00103,CID9715,US986172895,BABA,Buy,476,1339.49,637597.24,EUR,02/01/2024,1/30/2024,Morgan Stanley,Trader A,Pending,Yes,31879.86,Variation,,,,,Failed,Coupon Rate
TID00107,OID00107,CID2723,US423350887,TSLA,Sell,164,200.96,32957.44,EUR,3/26/2024,3/24/2024,Morgan Stanley,Trader A,Failed,Yes,1647.87,Initial,,,,,Pending,Coupon Rate
TID00111,OID00111,CID7178,US371218485,ADBE,Sell,939,269.84,253379.76,EUR,1/31/2024,1/29/2024,Citibank,Trader B,Failed,Yes,12668.99,Initial,,,,,Pending,Coupon Rate
TID00115,OID00115,CID8163,US857067533,BABA,Buy,537,1245.22,668683.14,USD,01/05/2024,01/03/2024,Goldman Sachs,Trader B,Failed,No,33434.16,Variation,,,,,Pending,Coupon Rate
TID00119,OID00119,CID9648,US913848569,ADBE,Buy,123,1388.72,170812.56,USD,02/05/2024,02/03/2024,Goldman Sachs,Trader D,Failed,Yes,8540.63,Initial,,,,,Failed,Coupon Rate
TID00123,OID00123,CID9624,US654890535,AAPL,Sell,414,921.11,381339.54,GBP,01/05/2024,01/03/2024,JPMorgan,Trader C,Completed,No,19066.98,Initial,,,,,Satisfied,Coupon Rate
TID00127,OID00127,CID5624,US568231562,TSLA,Buy,908,644.04,584788.32,USD,1/29/2024,1/27/2024,Morgan Stanley,Trader B,Failed,No,29239.42,Variation,,,,,Satisfied,Coupon Rate
TID00131,OID00131,CID5730,US165267967,ADBE,Sell,825,446.54,368395.5,GBP,04/09/2024,04/07/2024,Citibank,Trader A,Completed,Yes,18419.78,Variation,,,,,Pending,Coupon Rate
TID00135,OID00135,CID7694,US359561529,NVDA,Buy,215,282.48,60733.2,GBP,02/10/2024,02/08/2024,Morgan Stanley,Trader C,Failed,Yes,3036.66,Initial,,,,,Pending,Coupon Rate
TID00139,OID00139,CID9212,US178720192,GOOGL,Buy,94,116.84,10982.96,USD,03/03/2024,03/01/2024,Goldman Sachs,Trader A,Pending,Yes,549.15,Variation,,,,,Satisfied,Coupon Rate
TID00143,OID00143,CID6681,US272145266,MSFT,Buy,258,224.6,57946.8,USD,2/22/2024,2/20/2024,Morgan Stanley,Trader B,Pending,No,2897.34,Variation,,,,,Satisfied,Coupon Rate
TID00147,OID00147,CID8633,US244143429,AAPL,Sell,860,426.68,366944.8,GBP,2/25/2024,2/23/2024,Citibank,Trader D,Failed,No,18347.24,Initial,,,,,Satisfied,Coupon Rate
TID00151,OID00151,CID9819,US463476242,AAPL,Sell,263,1105.75,290812.25,GBP,3/24/2024,3/22/2024,Morgan Stanley,Trader B,Completed,Yes,14540.61,Variation,,,,,Pending,Coupon Rate
TID00155,OID00155,CID7593,US872772438,GOOGL,Buy,286,781.31,223454.66,USD,2/14/2024,02/12/2024,Morgan Stanley,Trader C,Pending,No,11172.73,Initial,,,,,Failed,Coupon Rate
TID00159,OID00159,CID9511,US840181830,TSLA,Buy,423,1426.82,603544.86,USD,4/19/2024,4/17/2024,Morgan Stanley,Trader D,Failed,No,30177.24,Initial,,,,,Failed,Coupon Rate
TID00163,OID00163,CID3467,US221496442,NVDA,Sell,718,343.72,246790.96,EUR,02/06/2024,02/04/2024,Morgan Stanley,Trader B,Pending,Yes,12339.55,Variation,,,,,Pending,Coupon Rate
TID00167,OID00167,CID2450,US751609554,BABA,Buy,105,1359.63,142761.15,EUR,04/10/2024,04/08/2024,Goldman Sachs,Trader D,Completed,No,7138.06,Variation,,,,,Satisfied,Coupon Rate
TID00171,OID00171,CID6572,US351154801,AMZN,Buy,655,1288.51,843974.05,USD,1/30/2024,1/28/2024,Goldman Sachs,Trader C,Completed,Yes,42198.7,Initial,,,,,Satisfied,Coupon Rate
TID00175,OID00175,CID8158,US640029417,NFLX,Sell,540,1401.46,756788.4,USD,1/19/2024,1/17/2024,Citibank,Trader C,Completed,No,37839.42,Variation,,,,,Pending,Coupon Rate
TID00179,OID00179,CID9530,US588589324,GOOGL,Sell,285,113.39,32316.15,GBP,1/26/2024,1/24/2024,Citibank,Trader D,Failed,No,1615.81,Initial,,,,,Pending,Coupon Rate
TID00183,OID00183,CID6407,US770637515,BABA,Buy,827,336.82,278550.14,USD,04/03/2024,04/01/2024,JPMorgan,Trader A,Failed,No,13927.51,Initial,,,,,Pending,Coupon Rate
TID00187,OID00187,CID5894,US383384026,GOOGL,Buy,911,1460.78,1330770.58,USD,04/11/2024,04/09/2024,Citibank,Trader A,Pending,No,66538.53,Initial,,,,,Pending,Coupon Rate
TID00191,OID00191,CID2487,US235374676,NFLX,Buy,342,121.81,41659.02,GBP,3/24/2024,3/22/2024,Citibank,Trader B,Failed,No,2082.95,Variation,,,,,Failed,Coupon Rate
TID00195,OID00195,CID1218,US991344502,TSLA,Sell,490,1445.2,708148.0,EUR,1/21/2024,1/19/2024,Citibank,Trader D,Completed,Yes,35407.4,Variation,,,,,Satisfied,Coupon Rate
TID00199,OID00199,CID7821,US288964237,ADBE,Sell,971,1109.04,1076877.84,GBP,03/07/2024,03/05/2024,Citibank,Trader C,Failed,Yes,53843.89,Variation,,,,,Failed,Coupon Rate
