Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00060,OID00060,CID9195,US688143018,AAPL,Sell,719,1308.69,940948.11,USD,1/17/2024,1/15/2024,Goldman Sachs,Trader C,Failed,Yes,47047.41,Initial,,,,,Satisfied,Maturity
TID00064,OID00064,CID4183,US758753118,MSFT,Sell,710,835.16,592963.6,EUR,1/18/2024,1/16/2024,Goldman Sachs,Trader D,Completed,Yes,29648.18,Variation,,,,,Satisfied,Maturity
TID00068,OID00068,CID5248,US504953604,AMZN,Buy,378,1115.53,421670.34,EUR,2/15/2024,2/13/2024,JPMorgan,Trader A,Pending,No,21083.52,Initial,,,,,Pending,Maturity
TID00072,OID00072,CID9866,US386930876,AAPL,Buy,518,622.86,322641.48,GBP,4/14/2024,04/12/2024,Citibank,Trader B,Completed,No,16132.07,Initial,,,,,Satisfied,Maturity
TID00076,OID00076,CID8651,US985881696,AAPL,Sell,924,620.21,573074.04,USD,1/16/2024,1/14/2024,JPMorgan,Trader B,Pending,Yes,28653.7,Initial,,,,,Satisfied,Maturity
TID00080,OID00080,CID5309,US653564485,NVDA,Sell,147,409.74,60231.78,GBP,2/27/2024,2/25/2024,Goldman Sachs,Trader B,Failed,Yes,3011.59,Variation,,,,,Failed,Maturity
TID00084,OID00084,CID6307,US705231901,AAPL,Buy,49,1040.21,50970.29,GBP,4/18/2024,4/16/2024,JPMorgan,Trader C,Pending,Yes,2548.51,Variation,,,,,Pending,Maturity
TID00088,OID00088,CID6831,US697627951,AMZN,Buy,350,1259.25,440737.5,EUR,3/28/2024,3/26/2024,Morgan Stanley,Trader A,Failed,Yes,22036.88,Initial,,,,,Satisfied,Maturity
TID00092,OID00092,CID1821,US913440508,ADBE,Buy,434,986.09,427963.06,EUR,03/03/2024,03/01/2024,Goldman Sachs,Trader D,Completed,Yes,21398.15,Initial,,,,,Satisfied,Maturity
TID00096,OID00096,CID3007,US594201452,ADBE,Buy,159,816.02,129747.18,USD,4/25/2024,4/23/2024,Goldman Sachs,Trader C,Pending,No,6487.36,Initial,,,,,Failed,Maturity
TID00100,OID00100,CID2481,US620657212,NVDA,Sell,377,244.94,92342.38,USD,2/26/2024,2/24/2024,Morgan Stanley,Trader C,Pending,No,4617.12,Variation,,,,,Failed,Maturity
TID00104,OID00104,CID9246,US817729491,NVDA,Sell,179,772.25,138232.75,EUR,03/04/2024,03/02/2024,Morgan Stanley,Trader B,Completed,Yes,6911.64,Initial,,,,,Failed,Maturity
TID00108,OID00108,CID2116,US321741526,NVDA,Buy,241,1343.78,323850.98,EUR,2/14/2024,02/12/2024,JPMorgan,Trader B,Failed,Yes,16192.55,Variation,,,,,Pending,Maturity
TID00112,OID00112,CID5064,US985144661,BABA,Buy,368,1084.32,399029.76,GBP,3/19/2024,3/17/2024,Goldman Sachs,Trader C,Completed,Yes,19951.49,Initial,,,,,Satisfied,Maturity
TID00116,OID00116,CID6707,US598667764,NVDA,Buy,86,1308.42,112524.12,EUR,4/21/2024,4/19/2024,JPMorgan,Trader A,Pending,No,5626.21,Initial,,,,,Failed,Maturity
TID00120,OID00120,CID8424,US331487828,META,Sell,271,116.36,31533.56,EUR,2/24/2024,2/22/2024,Morgan Stanley,Trader A,Failed,No,1576.68,Initial,,,,,Satisfied,Maturity
TID00124,OID00124,CID4378,US484725127,AAPL,Sell,345,1364.9,470890.5,GBP,02/11/2024,02/09/2024,Citibank,Trader C,Pending,No,23544.53,Initial,,,,,Pending,Maturity
TID00128,OID00128,CID8346,US954087449,NVDA,Buy,985,103.03,101484.55,EUR,02/09/2024,02/07/2024,Morgan Stanley,Trader B,Failed,Yes,5074.23,Variation,,,,,Satisfied,Maturity
TID00132,OID00132,CID1734,US724779138,NFLX,Buy,913,1260.69,1151009.97,EUR,4/16/2024,4/14/2024,Citibank,Trader B,Failed,No,57550.5,Initial,,,,,Pending,Maturity
TID00136,OID00136,CID5490,US758662104,NVDA,Sell,757,966.07,731314.99,EUR,04/01/2024,3/30/2024,Citibank,Trader A,Failed,No,36565.75,Variation,,,,,Failed,Maturity
TID00140,OID00140,CID5716,US504363090,TSLA,Buy,375,457.03,171386.25,EUR,03/11/2024,03/09/2024,Citibank,Trader D,Failed,Yes,8569.31,Initial,,,,,Failed,Maturity
TID00144,OID00144,CID9711,US287699055,META,Sell,697,1227.4,855497.8,USD,04/03/2024,04/01/2024,Goldman Sachs,Trader C,Failed,Yes,42774.89,Initial,,,,,Satisfied,Maturity
TID00148,OID00148,CID6283,US525451313,BABA,Buy,541,242.87,131392.67,EUR,03/07/2024,03/05/2024,JPMorgan,Trader A,Completed,No,6569.63,Initial,,,,,Pending,Maturity
TID00152,OID00152,CID5143,US816001450,AAPL,Sell,154,1457.65,224478.1,EUR,3/23/2024,3/21/2024,Goldman Sachs,Trader C,Pending,Yes,11223.91,Initial,,,,,Failed,Maturity
TID00156,OID00156,CID9458,US380365808,BABA,Sell,416,1030.95,428875.2,GBP,04/06/2024,04/04/2024,Morgan Stanley,Trader A,Completed,No,21443.76,Initial,,,,,Satisfied,Maturity
TID00160,OID00160,CID9392,US239128843,TSLA,Buy,162,373.99,60586.38,GBP,2/22/2024,2/20/2024,Goldman Sachs,Trader D,Completed,No,3029.32,Initial,,,,,Failed,Maturity
TID00164,OID00164,CID6699,US473404630,NFLX,Buy,544,285.23,155165.12,USD,4/19/2024,4/17/2024,Morgan Stanley,Trader C,Pending,Yes,7758.26,Initial,,,,,Satisfied,Maturity
TID00168,OID00168,CID9385,US421725107,AMZN,Buy,863,461.06,397894.78,GBP,4/17/2024,4/15/2024,Goldman Sachs,Trader B,Pending,No,19894.74,Initial,,,,,Failed,Maturity
TID00172,OID00172,CID1816,US782184971,NVDA,Buy,149,712.97,106232.53,EUR,04/10/2024,04/08/2024,Morgan Stanley,Trader B,Pending,Yes,5311.63,Variation,,,,,Failed,Maturity
TID00176,OID00176,CID3741,US168111475,AAPL,Buy,456,695.14,316983.84,USD,3/22/2024,3/20/2024,Morgan Stanley,Trader B,Completed,No,15849.19,Initial,,,,,Failed,Maturity
TID00180,OID00180,CID5952,US501620010,TSLA,Sell,941,1274.75,1199539.75,USD,05/01/2024,4/29/2024,Citibank,Trader A,Pending,Yes,59976.99,Initial,,,,,Satisfied,Maturity
TID00184,OID00184,CID4902,US938699428,NFLX,Buy,566,632.2,357825.2,USD,4/14/2024,04/12/2024,Morgan Stanley,Trader D,Pending,No,17891.26,Variation,,,,,Failed,Maturity
TID00188,OID00188,CID9332,US383601522,AMZN,Buy,823,750.2,617414.6,GBP,04/01/2024,3/30/2024,Citibank,Trader D,Pending,No,30870.73,Initial,,,,,Failed,Maturity
TID00192,OID00192,CID7150,US710788171,META,Sell,635,492.5,312737.5,GBP,2/27/2024,2/25/2024,JPMorgan,Trader C,Pending,No,15636.88,Initial,,,,,Satisfied,Maturity
TID00196,OID00196,CID6949,US912788835,AAPL,Buy,221,253.05,55924.05,USD,4/30/2024,4/28/2024,Citibank,Trader B,Failed,No,2796.2,Variation,,,,,Failed,Maturity
TID00200,OID00200,CID9785,US465065481,NFLX,Sell,789,1245.84,982967.76,USD,04/08/2024,04/06/2024,Citibank,Trader C,Failed,No,49148.39,Variation,,,,,Satisfied,Maturity
