Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule,Observation Dates,Auto-call level,Margin Status,event_type,Approved,Approval Status,Coupon Rate,Final Amount
TID00124,OID00124,CID4378,US484725127,AAPL,Sell,345,1364.9,470890.5,GBP,18/01/2026,13/06/2025,Citibank,Trader C,Pending,No,23544.53,Initial,,,,,Pending,Maturity,False,Not Approved,,470890.5
TID00128,OID00128,CID8346,US954087449,NVDA,Buy,985,103.03,101484.55,EUR,23/04/2026,04/01/2025,Morgan Stanley,Trader B,Failed,Yes,5074.23,Variation,,,,,Satisfied,Maturity,False,Not Approved,,101484.55
TID00132,OID00132,CID1734,US724779138,NFLX,Buy,913,1260.69,1151009.97,EUR,15/08/2025,09/12/2024,Citibank,Trader B,Failed,No,57550.5,Initial,,,,,Pending,Maturity,False,Not Approved,,1151009.97
TID00136,OID00136,CID5490,US758662104,NVDA,Sell,757,966.07,731314.99,EUR,28/11/2025,07/06/2025,Citibank,Trader A,Failed,No,36565.75,Variation,,,,,Failed,Maturity,False,Not Approved,,731314.99
TID00140,OID00140,CID5716,US504363090,TSLA,Buy,375,457.03,171386.25,EUR,25/11/2025,08/06/2025,Citibank,Trader D,Failed,Yes,8569.31,Initial,,,,,Failed,Maturity,False,Not Approved,,171386.25
TID00144,OID00144,CID9711,US287699055,META,Sell,697,1227.4,855497.8,USD,07/11/2025,06/02/2025,Goldman Sachs,Trader C,Failed,Yes,42774.89,Initial,,,,,Satisfied,Maturity,False,Not Approved,,855497.8
TID00148,OID00148,CID6283,US525451313,BABA,Buy,541,242.87,131392.67,EUR,26/11/2026,18/04/2025,JPMorgan,Trader A,Completed,No,6569.63,Initial,,,,,Pending,Maturity,False,Not Approved,,131392.67
TID00152,OID00152,CID5143,US816001450,AAPL,Sell,154,1457.65,224478.1,EUR,29/12/2026,01/01/2025,Goldman Sachs,Trader C,Pending,Yes,11223.91,Initial,,,,,Failed,Maturity,False,Not Approved,,224478.1
TID00156,OID00156,CID9458,US380365808,BABA,Sell,416,1030.95,428875.2,GBP,16/10/2025,11/07/2025,Morgan Stanley,Trader A,Completed,No,21443.76,Initial,,,,,Satisfied,Maturity,False,Not Approved,,428875.2
TID00160,OID00160,CID9392,US239128843,TSLA,Buy,162,373.99,60586.38,GBP,21/12/2026,15/01/2025,Goldman Sachs,Trader D,Completed,No,3029.32,Initial,,,,,Failed,Maturity,False,Not Approved,,60586.38
TID00164,OID00164,CID6699,US473404630,NFLX,Buy,544,285.23,155165.12,USD,14/10/2025,10/05/2025,Morgan Stanley,Trader C,Pending,Yes,7758.26,Initial,,,,,Satisfied,Maturity,False,Not Approved,,155165.12
TID00168,OID00168,CID9385,US421725107,AMZN,Buy,863,461.06,397894.78,GBP,18/12/2025,06/10/2024,Goldman Sachs,Trader B,Pending,No,19894.74,Initial,,,,,Failed,Maturity,False,Not Approved,,397894.78
TID00172,OID00172,CID1816,US782184971,NVDA,Buy,149,712.97,106232.53,EUR,30/01/2026,27/10/2024,Morgan Stanley,Trader B,Pending,Yes,5311.63,Variation,,,,,Failed,Maturity,False,Not Approved,,106232.53
TID00176,OID00176,CID3741,US168111475,AAPL,Buy,456,695.14,316983.84,USD,08/12/2026,19/01/2025,Morgan Stanley,Trader B,Completed,No,15849.19,Initial,,,,,Failed,Maturity,False,Not Approved,,316983.84
TID00180,OID00180,CID5952,US501620010,TSLA,Sell,941,1274.75,1199539.75,USD,23/09/2026,03/10/2024,Citibank,Trader A,Pending,Yes,59976.99,Initial,,,,,Satisfied,Maturity,False,Not Approved,,1199539.75
TID00184,OID00184,CID4902,US938699428,NFLX,Buy,566,632.2,357825.2,USD,01/02/2026,20/04/2025,Morgan Stanley,Trader D,Pending,No,17891.26,Variation,,,,,Failed,Maturity,False,Not Approved,,357825.2
TID00188,OID00188,CID9332,US383601522,AMZN,Buy,823,750.2,617414.6,GBP,23/09/2025,15/03/2025,Citibank,Trader D,Pending,No,30870.73,Initial,,,,,Failed,Maturity,False,Not Approved,,617414.6
TID00192,OID00192,CID7150,US710788171,META,Sell,635,492.5,312737.5,GBP,06/10/2026,18/11/2024,JPMorgan,Trader C,Pending,No,15636.88,Initial,,,,,Satisfied,Maturity,False,Not Approved,,312737.5
TID00196,OID00196,CID6949,US912788835,AAPL,Buy,221,253.05,55924.05,USD,17/06/2026,09/10/2024,Citibank,Trader B,Failed,No,2796.2,Variation,,,,,Failed,Maturity,False,Not Approved,,55924.05
TID00200,OID00200,CID9785,US465065481,NFLX,Sell,789,1245.84,982967.76,USD,14/10/2025,24/06/2025,Citibank,Trader C,Failed,No,49148.39,Variation,,,,,Satisfied,Maturity,False,Not Approved,,982967.76
