Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00057,OID00057,CID9707,US307778674,ADBE,Buy,176,1489.09,262079.84,USD,4/13/2024,04/11/2024,Morgan Stanley,Trader B,Failed,No,13103.99,Variation,,,,,Pending,Early-Redemption
TID00061,OID00061,CID8459,US975554360,BABA,Buy,813,888.83,722618.79,GBP,05/01/2024,4/29/2024,Morgan Stanley,Trader C,Pending,Yes,36130.94,Variation,,,,,Satisfied,Early-Redemption
TID00065,OID00065,CID4381,US566705407,TSLA,Buy,713,234.84,167440.92,GBP,2/15/2024,2/13/2024,Morgan Stanley,Trader C,Pending,No,8372.05,Initial,,,,,Satisfied,Early-Redemption
TID00069,OID00069,CID4999,US894708418,TSLA,Buy,309,1139.16,352000.44,USD,04/09/2024,04/07/2024,Goldman Sachs,Trader A,Pending,No,17600.02,Variation,,,,,Satisfied,Early-Redemption
TID00073,OID00073,CID1942,US486344894,GOOGL,Sell,423,795.75,336602.25,EUR,4/15/2024,4/13/2024,Morgan Stanley,Trader C,Pending,Yes,16830.11,Initial,,,,,Failed,Early-Redemption
TID00077,OID00077,CID9471,US101245731,META,Sell,629,1266.91,796886.39,EUR,4/14/2024,04/12/2024,Goldman Sachs,Trader A,Failed,No,39844.32,Variation,,,,,Satisfied,Early-Redemption
TID00081,OID00081,CID3938,US557043454,MSFT,Sell,211,223.33,47122.63,GBP,3/17/2024,3/15/2024,JPMorgan,Trader C,Failed,No,2356.13,Initial,,,,,Satisfied,Early-Redemption
TID00085,OID00085,CID6882,US242234860,BABA,Sell,601,963.33,578961.33,GBP,4/21/2024,4/19/2024,JPMorgan,Trader C,Pending,No,28948.07,Variation,,,,,Failed,Early-Redemption
TID00089,OID00089,CID8887,US381485465,META,Buy,811,1070.61,868264.71,GBP,1/30/2024,1/28/2024,Citibank,Trader D,Failed,No,43413.24,Variation,,,,,Failed,Early-Redemption
TID00093,OID00093,CID4372,US170103426,AAPL,Buy,562,1488.33,836441.46,GBP,3/24/2024,3/22/2024,Goldman Sachs,Trader B,Pending,Yes,41822.07,Variation,,,,,Failed,Early-Redemption
TID00097,OID00097,CID6559,US629710937,NFLX,Sell,711,202.67,144098.37,USD,01/06/2024,01/04/2024,Morgan Stanley,Trader A,Failed,Yes,7204.92,Initial,,,,,Failed,Early-Redemption
TID00101,OID00101,CID4116,US370901992,AMZN,Sell,991,462.73,458565.43,USD,4/15/2024,4/13/2024,JPMorgan,Trader A,Pending,No,22928.27,Initial,,,,,Pending,Early-Redemption
TID00105,OID00105,CID6045,US128924867,GOOGL,Sell,234,801.36,187518.24,USD,1/28/2024,1/26/2024,Morgan Stanley,Trader A,Pending,No,9375.91,Initial,,,,,Pending,Early-Redemption
TID00109,OID00109,CID6269,US644852751,GOOGL,Sell,926,502.87,465657.62,GBP,1/29/2024,1/27/2024,Morgan Stanley,Trader D,Pending,Yes,23282.88,Initial,,,,,Failed,Early-Redemption
TID00113,OID00113,CID1186,US165773891,TSLA,Sell,484,1048.38,507415.92,USD,1/30/2024,1/28/2024,Citibank,Trader B,Completed,Yes,25370.8,Variation,,,,,Failed,Early-Redemption
TID00117,OID00117,CID5457,US316288678,GOOGL,Sell,55,1406.57,77361.35,USD,2/25/2024,2/23/2024,JPMorgan,Trader A,Pending,Yes,3868.07,Initial,,,,,Satisfied,Early-Redemption
TID00121,OID00121,CID2797,US946031380,GOOGL,Sell,438,237.2,103893.6,USD,1/26/2024,1/24/2024,Morgan Stanley,Trader C,Failed,Yes,5194.68,Variation,,,,,Satisfied,Early-Redemption
TID00125,OID00125,CID7338,US838165259,BABA,Sell,282,233.97,65979.54,USD,3/27/2024,3/25/2024,Citibank,Trader C,Pending,No,3298.98,Initial,,,,,Failed,Early-Redemption
TID00129,OID00129,CID1558,US209334640,AMZN,Buy,295,565.26,166751.7,EUR,4/15/2024,4/13/2024,Morgan Stanley,Trader C,Completed,Yes,8337.59,Initial,,,,,Satisfied,Early-Redemption
TID00133,OID00133,CID2349,US290976322,AAPL,Buy,252,1056.05,266124.6,EUR,1/20/2024,1/18/2024,Goldman Sachs,Trader D,Pending,Yes,13306.23,Variation,,,,,Pending,Early-Redemption
TID00137,OID00137,CID6327,US865257652,META,Sell,278,306.43,85187.54,EUR,04/07/2024,04/05/2024,Morgan Stanley,Trader C,Completed,Yes,4259.38,Initial,,,,,Satisfied,Early-Redemption
TID00141,OID00141,CID5828,US718014468,AAPL,Buy,237,1025.44,243029.28,USD,2/26/2024,2/24/2024,Morgan Stanley,Trader B,Completed,No,12151.46,Initial,,,,,Failed,Early-Redemption
TID00145,OID00145,CID7614,US224908943,BABA,Buy,841,1252.12,1053032.92,USD,4/29/2024,4/27/2024,Goldman Sachs,Trader D,Completed,Yes,52651.65,Variation,,,,,Pending,Early-Redemption
TID00149,OID00149,CID9297,US221996257,NVDA,Sell,528,152.29,80409.12,USD,02/04/2024,02/02/2024,Morgan Stanley,Trader D,Failed,Yes,4020.46,Initial,,,,,Satisfied,Early-Redemption
TID00153,OID00153,CID1449,US922971003,TSLA,Sell,467,702.98,328291.66,EUR,4/29/2024,4/27/2024,Morgan Stanley,Trader C,Pending,No,16414.58,Initial,,,,,Failed,Early-Redemption
TID00157,OID00157,CID5110,US331515580,AMZN,Buy,69,934.01,64446.69,EUR,04/01/2024,3/30/2024,Morgan Stanley,Trader C,Pending,No,3222.33,Variation,,,,,Failed,Early-Redemption
TID00161,OID00161,CID9837,US429169637,TSLA,Buy,64,431.89,27640.96,EUR,2/27/2024,2/25/2024,Morgan Stanley,Trader C,Failed,Yes,1382.05,Variation,,,,,Failed,Early-Redemption
TID00165,OID00165,CID6653,US152934355,ADBE,Sell,515,402.88,207483.2,USD,02/03/2024,02/01/2024,JPMorgan,Trader A,Completed,No,10374.16,Variation,,,,,Failed,Early-Redemption
TID00169,OID00169,CID3536,US474152465,ADBE,Sell,898,1337.97,1201497.06,GBP,02/06/2024,02/04/2024,Morgan Stanley,Trader C,Pending,Yes,60074.85,Initial,,,,,Failed,Early-Redemption
TID00173,OID00173,CID6675,US326988196,META,Sell,562,1246.69,700639.78,EUR,1/24/2024,1/22/2024,Morgan Stanley,Trader D,Pending,Yes,35031.99,Initial,,,,,Pending,Early-Redemption
TID00177,OID00177,CID5213,US327952717,AAPL,Buy,774,866.06,670330.44,USD,04/09/2024,04/07/2024,Morgan Stanley,Trader A,Completed,Yes,33516.52,Initial,,,,,Failed,Early-Redemption
TID00181,OID00181,CID1409,US694526427,META,Sell,358,1170.74,419124.92,USD,2/17/2024,2/15/2024,Citibank,Trader A,Failed,Yes,20956.25,Variation,,,,,Failed,Early-Redemption
TID00185,OID00185,CID7854,US583013701,META,Sell,658,764.2,502843.6,GBP,4/16/2024,4/14/2024,Citibank,Trader C,Failed,Yes,25142.18,Initial,,,,,Satisfied,Early-Redemption
TID00189,OID00189,CID5744,US766912338,TSLA,Sell,335,1005.52,336849.2,GBP,02/04/2024,02/02/2024,Citibank,Trader C,Completed,Yes,16842.46,Initial,,,,,Pending,Early-Redemption
TID00193,OID00193,CID6795,US575677747,MSFT,Buy,311,1049.24,326313.64,USD,3/14/2024,03/12/2024,Citibank,Trader D,Pending,Yes,16315.68,Initial,,,,,Pending,Early-Redemption
TID00197,OID00197,CID7583,US109512467,NVDA,Buy,441,570.1,251414.1,GBP,4/27/2024,4/25/2024,JPMorgan,Trader A,Completed,Yes,12570.71,Variation,,,,,Satisfied,Early-Redemption
