Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Settlement Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,event_type
TID00031,OID00031,CID4521,US444878690,NVDA,Buy,605,318.22,192523.1,EUR,01/09/2024,01/07/2024,JPMorgan,Trader D,Failed,No,9626.16,Initial,Satisfied,
TID00032,OID00032,CID9833,US511362334,NFLX,Buy,803,1392.03,1117800.09,GBP,2/13/2024,02/11/2024,JPMorgan,Trader C,Completed,No,55890,Variation,Satisfied,
TID00033,OID00033,CID2486,US623162018,BABA,Buy,942,563.3,530628.6,USD,1/23/2024,1/21/2024,Morgan Stanley,Trader A,Failed,Yes,26531.43,Variation,Pending,
TID00034,OID00034,CID3303,US316010828,MSFT,Buy,523,490.53,256547.19,USD,04/08/2024,04/06/2024,Citibank,Trader B,Failed,No,12827.36,Variation,Failed,
TID00035,OID00035,CID6632,US303681429,NVDA,Sell,54,1381.88,74621.52,USD,05/01/2024,4/29/2024,Citibank,Trader C,Completed,Yes,3731.08,Initial,Failed,
TID00036,OID00036,CID8148,US696783507,TSLA,Buy,524,598.92,313834.08,USD,3/26/2024,3/24/2024,Goldman Sachs,Trader D,Failed,No,15691.7,Variation,Pending,
TID00037,OID00037,CID3448,US845269714,MSFT,Buy,109,1297.53,141430.77,USD,4/15/2024,4/13/2024,Citibank,Trader B,Pending,Yes,7071.54,Initial,Pending,
TID00038,OID00038,CID1248,US777621649,AAPL,Buy,514,1371.07,704729.98,GBP,03/04/2024,03/02/2024,Goldman Sachs,Trader D,Failed,No,35236.5,Initial,Satisfied,
TID00039,OID00039,CID5796,US112219917,BABA,Buy,148,1271.71,188213.08,EUR,02/05/2024,02/03/2024,JPMorgan,Trader C,Completed,Yes,9410.65,Variation,Satisfied,
TID00040,OID00040,CID4309,US504829074,BABA,Buy,228,309.17,70490.76,USD,4/21/2024,4/19/2024,Goldman Sachs,Trader C,Completed,No,3524.54,Variation,Failed,
TID00041,OID00041,CID4536,US187405504,TSLA,Sell,276,770.92,212773.92,USD,3/31/2024,3/29/2024,Morgan Stanley,Trader C,Pending,No,10638.7,Initial,Failed,
TID00042,OID00042,CID1242,US816630499,TSLA,Buy,274,496.97,136169.78,EUR,3/13/2024,03/11/2024,Morgan Stanley,Trader D,Pending,Yes,6808.49,Initial,Failed,
TID00043,OID00043,CID1487,US674871357,NVDA,Sell,708,947.47,670808.76,EUR,04/04/2024,04/02/2024,Citibank,Trader D,Completed,Yes,33540.44,Initial,Satisfied,
TID00044,OID00044,CID7067,US590523117,MSFT,Sell,815,474.82,386978.3,EUR,2/18/2024,2/16/2024,JPMorgan,Trader C,Completed,No,19348.92,Initial,Satisfied,
TID00045,OID00045,CID7892,US971820697,NVDA,Buy,230,368.08,84658.4,EUR,03/02/2024,2/29/2024,Goldman Sachs,Trader A,Failed,Yes,4232.92,Variation,Satisfied,
TID00046,OID00046,CID6879,US484858411,BABA,Buy,612,739.77,452739.24,GBP,3/27/2024,3/25/2024,Morgan Stanley,Trader A,Pending,Yes,22636.96,Variation,Pending,
TID00047,OID00047,CID4297,US311809960,GOOGL,Sell,622,1130.32,703059.04,EUR,1/22/2024,1/20/2024,JPMorgan,Trader A,Completed,Yes,35152.95,Initial,Failed,
TID00048,OID00048,CID5807,US463417877,AAPL,Sell,975,1438.69,1402722.75,GBP,2/13/2024,02/11/2024,JPMorgan,Trader B,Failed,No,70136.14,Initial,Pending,
TID00049,OID00049,CID5829,US796664232,NVDA,Buy,426,672.88,286646.88,USD,2/28/2024,2/26/2024,Citibank,Trader B,Failed,Yes,14332.34,Variation,Pending,
TID00050,OID00050,CID9833,US762207709,MSFT,Buy,973,1378.87,1341640.51,USD,4/23/2024,4/21/2024,Citibank,Trader C,Pending,No,67082.03,Variation,Satisfied,
TID00051,OID00051,CID6818,US521862236,TSLA,Sell,491,1253.7,615566.7,USD,04/09/2024,04/07/2024,Citibank,Trader D,Pending,Yes,30778.33,Variation,Pending,
TID00052,OID00052,CID8422,US631021383,NFLX,Buy,390,1051.69,410159.1,USD,03/03/2024,03/01/2024,Goldman Sachs,Trader C,Completed,Yes,20507.96,Variation,Pending,
TID00053,OID00053,CID6348,US536979056,META,Buy,583,941.33,548795.39,EUR,04/09/2024,04/07/2024,JPMorgan,Trader C,Failed,Yes,27439.77,Variation,Failed,
TID00054,OID00054,CID4789,US561125740,GOOGL,Sell,658,830.51,546475.58,GBP,4/27/2024,4/25/2024,Morgan Stanley,Trader C,Failed,Yes,27323.78,Variation,Satisfied,
TID00055,OID00055,CID8687,US768312799,ADBE,Buy,474,331.35,157059.9,EUR,02/04/2024,02/02/2024,Citibank,Trader A,Failed,Yes,7852.99,Variation,Pending,
TID00056,OID00056,CID3084,US552352193,META,Sell,773,262.34,202788.82,EUR,2/17/2024,2/15/2024,Morgan Stanley,Trader B,Failed,No,10139.44,Variation,Failed,
TID00057,OID00057,CID9707,US307778674,ADBE,Buy,176,1489.09,262079.84,USD,4/13/2024,04/11/2024,Morgan Stanley,Trader B,Failed,No,13103.99,Variation,Pending,
TID00058,OID00058,CID6778,US438600198,GOOGL,Sell,286,974.9,278821.4,USD,02/01/2024,1/30/2024,Morgan Stanley,Trader B,Completed,No,13941.07,Variation,Failed,
TID00059,OID00059,CID5742,US597572676,MSFT,Buy,229,635.42,145511.18,GBP,2/28/2024,2/26/2024,Goldman Sachs,Trader A,Completed,No,7275.56,Variation,Satisfied,
TID00060,OID00060,CID9195,US688143018,AAPL,Sell,719,1308.69,940948.11,USD,1/17/2024,1/15/2024,Goldman Sachs,Trader C,Failed,Yes,47047.41,Initial,Satisfied,
TID00061,OID00061,CID8459,US975554360,BABA,Buy,813,888.83,722618.79,GBP,05/01/2024,4/29/2024,Morgan Stanley,Trader C,Pending,Yes,36130.94,Variation,Satisfied,
TID00062,OID00062,CID7015,US180502694,META,Sell,832,206.06,171441.92,EUR,01/09/2024,01/07/2024,JPMorgan,Trader A,Failed,Yes,8572.1,Variation,Satisfied,
TID00063,OID00063,CID2807,US562283653,BABA,Buy,843,312.69,263597.67,EUR,3/27/2024,3/25/2024,Citibank,Trader B,Pending,No,13179.88,Initial,Pending,
TID00064,OID00064,CID4183,US758753118,MSFT,Sell,710,835.16,592963.6,EUR,1/18/2024,1/16/2024,Goldman Sachs,Trader D,Completed,Yes,29648.18,Variation,Satisfied,
TID00065,OID00065,CID4381,US566705407,TSLA,Buy,713,234.84,167440.92,GBP,2/15/2024,2/13/2024,Morgan Stanley,Trader C,Pending,No,8372.05,Initial,Satisfied,
TID00066,OID00066,CID5063,US477294160,ADBE,Sell,721,412.02,297066.42,EUR,4/28/2024,4/26/2024,JPMorgan,Trader A,Pending,No,14853.32,Initial,Failed,
TID00067,OID00067,CID4537,US128005684,BABA,Buy,999,222.19,221967.81,EUR,2/23/2024,2/21/2024,Citibank,Trader B,Pending,Yes,11098.39,Variation,Pending,
TID00068,OID00068,CID5248,US504953604,AMZN,Buy,378,1115.53,421670.34,EUR,2/15/2024,2/13/2024,JPMorgan,Trader A,Pending,No,21083.52,Initial,Pending,
TID00069,OID00069,CID4999,US894708418,TSLA,Buy,309,1139.16,352000.44,USD,04/09/2024,04/07/2024,Goldman Sachs,Trader A,Pending,No,17600.02,Variation,Satisfied,
TID00070,OID00070,CID4942,US957674850,MSFT,Buy,634,383.58,243189.72,USD,4/20/2024,4/18/2024,JPMorgan,Trader B,Failed,No,12159.49,Variation,Satisfied,
TID00071,OID00071,CID8418,US299379488,MSFT,Sell,312,309.51,96567.12,USD,03/10/2024,03/08/2024,Goldman Sachs,Trader A,Pending,Yes,4828.36,Variation,Satisfied,
TID00072,OID00072,CID9866,US386930876,AAPL,Buy,518,622.86,322641.48,GBP,4/14/2024,04/12/2024,Citibank,Trader B,Completed,No,16132.07,Initial,Satisfied,
TID00073,OID00073,CID1942,US486344894,GOOGL,Sell,423,795.75,336602.25,EUR,4/15/2024,4/13/2024,Morgan Stanley,Trader C,Pending,Yes,16830.11,Initial,Failed,
TID00074,OID00074,CID8668,US816600690,BABA,Buy,872,1025.21,893983.12,USD,05/01/2024,4/29/2024,Goldman Sachs,Trader C,Failed,Yes,44699.16,Initial,Failed,
TID00075,OID00075,CID7322,US407776453,NFLX,Buy,889,523.54,465427.06,GBP,2/24/2024,2/22/2024,Morgan Stanley,Trader B,Completed,No,23271.35,Variation,Satisfied,
TID00076,OID00076,CID8651,US985881696,AAPL,Sell,924,620.21,573074.04,USD,1/16/2024,1/14/2024,JPMorgan,Trader B,Pending,Yes,28653.7,Initial,Satisfied,
TID00077,OID00077,CID9471,US101245731,META,Sell,629,1266.91,796886.39,EUR,4/14/2024,04/12/2024,Goldman Sachs,Trader A,Failed,No,39844.32,Variation,Satisfied,
TID00078,OID00078,CID7729,US380495736,MSFT,Buy,394,711.11,280177.34,GBP,4/17/2024,4/15/2024,JPMorgan,Trader D,Pending,No,14008.87,Initial,Satisfied,
TID00079,OID00079,CID4796,US661594578,GOOGL,Buy,479,371.32,177862.28,GBP,01/12/2024,01/10/2024,JPMorgan,Trader D,Completed,Yes,8893.11,Initial,Pending,
TID00080,OID00080,CID5309,US653564485,NVDA,Sell,147,409.74,60231.78,GBP,2/27/2024,2/25/2024,Goldman Sachs,Trader B,Failed,Yes,3011.59,Variation,Failed,
TID00081,OID00081,CID3938,US557043454,MSFT,Sell,211,223.33,47122.63,GBP,3/17/2024,3/15/2024,JPMorgan,Trader C,Failed,No,2356.13,Initial,Satisfied,
TID00082,OID00082,CID6006,US778394722,META,Buy,826,125.6,103745.6,USD,3/31/2024,3/29/2024,JPMorgan,Trader D,Failed,Yes,5187.28,Variation,Satisfied,
TID00083,OID00083,CID7938,US810077248,ADBE,Sell,703,505.37,355275.11,EUR,04/08/2024,04/06/2024,Goldman Sachs,Trader C,Pending,Yes,17763.76,Initial,Failed,
TID00084,OID00084,CID6307,US705231901,AAPL,Buy,49,1040.21,50970.29,GBP,4/18/2024,4/16/2024,JPMorgan,Trader C,Pending,Yes,2548.51,Variation,Pending,
TID00085,OID00085,CID6882,US242234860,BABA,Sell,601,963.33,578961.33,GBP,4/21/2024,4/19/2024,JPMorgan,Trader C,Pending,No,28948.07,Variation,Failed,
TID00086,OID00086,CID2269,US503822330,NFLX,Sell,942,1102.78,1038818.76,EUR,04/01/2024,3/30/2024,JPMorgan,Trader C,Pending,No,51940.94,Initial,Satisfied,
TID00087,OID00087,CID4080,US815765397,AMZN,Buy,819,1176.15,963266.85,GBP,04/06/2024,04/04/2024,Morgan Stanley,Trader B,Pending,Yes,48163.34,Variation,Satisfied,
TID00088,OID00088,CID6831,US697627951,AMZN,Buy,350,1259.25,440737.5,EUR,3/28/2024,3/26/2024,Morgan Stanley,Trader A,Failed,Yes,22036.88,Initial,Satisfied,
TID00089,OID00089,CID8887,US381485465,META,Buy,811,1070.61,868264.71,GBP,1/30/2024,1/28/2024,Citibank,Trader D,Failed,No,43413.24,Variation,Failed,
TID00090,OID00090,CID7019,US737470851,BABA,Buy,269,861.9,231851.1,USD,1/24/2024,1/22/2024,Goldman Sachs,Trader A,Pending,Yes,11592.56,Variation,Failed,
TID00091,OID00091,CID1597,US374761770,NFLX,Sell,454,172.26,78206.04,EUR,3/31/2024,3/29/2024,Goldman Sachs,Trader D,Completed,No,3910.3,Initial,Failed,
TID00092,OID00092,CID1821,US913440508,ADBE,Buy,434,986.09,427963.06,EUR,03/03/2024,03/01/2024,Goldman Sachs,Trader D,Completed,Yes,21398.15,Initial,Satisfied,
TID00093,OID00093,CID4372,US170103426,AAPL,Buy,562,1488.33,836441.46,GBP,3/24/2024,3/22/2024,Goldman Sachs,Trader B,Pending,Yes,41822.07,Variation,Failed,
TID00094,OID00094,CID9337,US202009479,AMZN,Sell,310,249.95,77484.5,USD,3/16/2024,3/14/2024,Goldman Sachs,Trader D,Completed,No,3874.23,Initial,Failed,
TID00095,OID00095,CID1583,US690396527,BABA,Sell,836,814.11,680595.96,EUR,4/14/2024,04/12/2024,Citibank,Trader A,Completed,No,34029.8,Variation,Failed,
TID00096,OID00096,CID3007,US594201452,ADBE,Buy,159,816.02,129747.18,USD,4/25/2024,4/23/2024,Goldman Sachs,Trader C,Pending,No,6487.36,Initial,Failed,
TID00097,OID00097,CID6559,US629710937,NFLX,Sell,711,202.67,144098.37,USD,01/06/2024,01/04/2024,Morgan Stanley,Trader A,Failed,Yes,7204.92,Initial,Failed,
TID00098,OID00098,CID9878,US497135463,AAPL,Sell,597,1130.86,675123.42,EUR,3/14/2024,03/12/2024,JPMorgan,Trader B,Pending,Yes,33756.17,Initial,Pending,
TID00099,OID00099,CID4865,US449602380,ADBE,Sell,532,146.46,77916.72,EUR,2/20/2024,2/18/2024,Citibank,Trader A,Completed,Yes,3895.84,Initial,Satisfied,
TID00100,OID00100,CID2481,US620657212,NVDA,Sell,377,244.94,92342.38,USD,2/26/2024,2/24/2024,Morgan Stanley,Trader C,Pending,No,4617.12,Variation,Failed,
TID00101,OID00101,CID4116,US370901992,AMZN,Sell,991,462.73,458565.43,USD,4/15/2024,4/13/2024,JPMorgan,Trader A,Pending,No,22928.27,Initial,Pending,
TID00102,OID00102,CID1055,US938802605,ADBE,Buy,496,1227,608592,GBP,4/14/2024,04/12/2024,Morgan Stanley,Trader D,Completed,No,30429.6,Initial,Failed,
TID00103,OID00103,CID9715,US986172895,BABA,Buy,476,1339.49,637597.24,EUR,02/01/2024,1/30/2024,Morgan Stanley,Trader A,Pending,Yes,31879.86,Variation,Failed,
TID00104,OID00104,CID9246,US817729491,NVDA,Sell,179,772.25,138232.75,EUR,03/04/2024,03/02/2024,Morgan Stanley,Trader B,Completed,Yes,6911.64,Initial,Failed,
TID00105,OID00105,CID6045,US128924867,GOOGL,Sell,234,801.36,187518.24,USD,1/28/2024,1/26/2024,Morgan Stanley,Trader A,Pending,No,9375.91,Initial,Pending,
TID00106,OID00106,CID8160,US908300146,GOOGL,Buy,386,489.48,188939.28,USD,03/03/2024,03/01/2024,JPMorgan,Trader B,Pending,No,9446.96,Variation,Satisfied,
TID00107,OID00107,CID2723,US423350887,TSLA,Sell,164,200.96,32957.44,EUR,3/26/2024,3/24/2024,Morgan Stanley,Trader A,Failed,Yes,1647.87,Initial,Pending,
TID00108,OID00108,CID2116,US321741526,NVDA,Buy,241,1343.78,323850.98,EUR,2/14/2024,02/12/2024,JPMorgan,Trader B,Failed,Yes,16192.55,Variation,Pending,
TID00109,OID00109,CID6269,US644852751,GOOGL,Sell,926,502.87,465657.62,GBP,1/29/2024,1/27/2024,Morgan Stanley,Trader D,Pending,Yes,23282.88,Initial,Failed,
TID00110,OID00110,CID9666,US114280271,MSFT,Buy,508,724.18,367883.44,GBP,02/07/2024,02/05/2024,JPMorgan,Trader A,Completed,No,18394.17,Variation,Satisfied,
TID00111,OID00111,CID7178,US371218485,ADBE,Sell,939,269.84,253379.76,EUR,1/31/2024,1/29/2024,Citibank,Trader B,Failed,Yes,12668.99,Initial,Pending,
TID00112,OID00112,CID5064,US985144661,BABA,Buy,368,1084.32,399029.76,GBP,3/19/2024,3/17/2024,Goldman Sachs,Trader C,Completed,Yes,19951.49,Initial,Satisfied,
TID00113,OID00113,CID1186,US165773891,TSLA,Sell,484,1048.38,507415.92,USD,1/30/2024,1/28/2024,Citibank,Trader B,Completed,Yes,25370.8,Variation,Failed,
TID00114,OID00114,CID8497,US326433101,AAPL,Buy,901,136.13,122653.13,GBP,3/29/2024,3/27/2024,Citibank,Trader D,Completed,Yes,6132.66,Initial,Pending,
TID00115,OID00115,CID8163,US857067533,BABA,Buy,537,1245.22,668683.14,USD,01/05/2024,01/03/2024,Goldman Sachs,Trader B,Failed,No,33434.16,Variation,Pending,
TID00116,OID00116,CID6707,US598667764,NVDA,Buy,86,1308.42,112524.12,EUR,4/21/2024,4/19/2024,JPMorgan,Trader A,Pending,No,5626.21,Initial,Failed,
TID00117,OID00117,CID5457,US316288678,GOOGL,Sell,55,1406.57,77361.35,USD,2/25/2024,2/23/2024,JPMorgan,Trader A,Pending,Yes,3868.07,Initial,Satisfied,
TID00118,OID00118,CID3605,US517118141,AAPL,Buy,934,1395.7,1303583.8,EUR,03/10/2024,03/08/2024,Goldman Sachs,Trader D,Completed,No,65179.19,Initial,Pending,
TID00119,OID00119,CID9648,US913848569,ADBE,Buy,123,1388.72,170812.56,USD,02/05/2024,02/03/2024,Goldman Sachs,Trader D,Failed,Yes,8540.63,Initial,Failed,
TID00120,OID00120,CID8424,US331487828,META,Sell,271,116.36,31533.56,EUR,2/24/2024,2/22/2024,Morgan Stanley,Trader A,Failed,No,1576.68,Initial,Satisfied,
TID00121,OID00121,CID2797,US946031380,GOOGL,Sell,438,237.2,103893.6,USD,1/26/2024,1/24/2024,Morgan Stanley,Trader C,Failed,Yes,5194.68,Variation,Satisfied,
TID00122,OID00122,CID5057,US755688998,MSFT,Buy,814,1196.08,973609.12,GBP,2/28/2024,2/26/2024,Goldman Sachs,Trader B,Pending,Yes,48680.46,Variation,Satisfied,
TID00123,OID00123,CID9624,US654890535,AAPL,Sell,414,921.11,381339.54,GBP,01/05/2024,01/03/2024,JPMorgan,Trader C,Completed,No,19066.98,Initial,Satisfied,
TID00124,OID00124,CID4378,US484725127,AAPL,Sell,345,1364.9,470890.5,GBP,02/11/2024,02/09/2024,Citibank,Trader C,Pending,No,23544.53,Initial,Pending,
TID00125,OID00125,CID7338,US838165259,BABA,Sell,282,233.97,65979.54,USD,3/27/2024,3/25/2024,Citibank,Trader C,Pending,No,3298.98,Initial,Failed,
TID00126,OID00126,CID4416,US672382904,NVDA,Sell,67,913.92,61232.64,EUR,03/11/2024,03/09/2024,Goldman Sachs,Trader D,Pending,No,3061.63,Variation,Failed,
TID00127,OID00127,CID5624,US568231562,TSLA,Buy,908,644.04,584788.32,USD,1/29/2024,1/27/2024,Morgan Stanley,Trader B,Failed,No,29239.42,Variation,Satisfied,
TID00128,OID00128,CID8346,US954087449,NVDA,Buy,985,103.03,101484.55,EUR,02/09/2024,02/07/2024,Morgan Stanley,Trader B,Failed,Yes,5074.23,Variation,Satisfied,
TID00129,OID00129,CID1558,US209334640,AMZN,Buy,295,565.26,166751.7,EUR,4/15/2024,4/13/2024,Morgan Stanley,Trader C,Completed,Yes,8337.59,Initial,Satisfied,
TID00130,OID00130,CID5934,US907221758,MSFT,Buy,177,501.57,88777.89,GBP,02/11/2024,02/09/2024,Morgan Stanley,Trader B,Failed,No,4438.89,Variation,Satisfied,
TID00131,OID00131,CID5730,US165267967,ADBE,Sell,825,446.54,368395.5,GBP,04/09/2024,04/07/2024,Citibank,Trader A,Completed,Yes,18419.78,Variation,Pending,
TID00132,OID00132,CID1734,US724779138,NFLX,Buy,913,1260.69,1151009.97,EUR,4/16/2024,4/14/2024,Citibank,Trader B,Failed,No,57550.5,Initial,Pending,
TID00133,OID00133,CID2349,US290976322,AAPL,Buy,252,1056.05,266124.6,EUR,1/20/2024,1/18/2024,Goldman Sachs,Trader D,Pending,Yes,13306.23,Variation,Pending,
TID00134,OID00134,CID7901,US179229680,TSLA,Sell,759,1290.86,979762.74,EUR,4/13/2024,04/11/2024,Morgan Stanley,Trader C,Completed,No,48988.14,Initial,Pending,
TID00135,OID00135,CID7694,US359561529,NVDA,Buy,215,282.48,60733.2,GBP,02/10/2024,02/08/2024,Morgan Stanley,Trader C,Failed,Yes,3036.66,Initial,Pending,
TID00136,OID00136,CID5490,US758662104,NVDA,Sell,757,966.07,731314.99,EUR,04/01/2024,3/30/2024,Citibank,Trader A,Failed,No,36565.75,Variation,Failed,
TID00137,OID00137,CID6327,US865257652,META,Sell,278,306.43,85187.54,EUR,04/07/2024,04/05/2024,Morgan Stanley,Trader C,Completed,Yes,4259.38,Initial,Satisfied,
TID00138,OID00138,CID5055,US346088215,NVDA,Buy,466,1272.83,593138.78,GBP,03/07/2024,03/05/2024,Morgan Stanley,Trader D,Failed,No,29656.94,Initial,Pending,
TID00139,OID00139,CID9212,US178720192,GOOGL,Buy,94,116.84,10982.96,USD,03/03/2024,03/01/2024,Goldman Sachs,Trader A,Pending,Yes,549.15,Variation,Satisfied,
TID00140,OID00140,CID5716,US504363090,TSLA,Buy,375,457.03,171386.25,EUR,03/11/2024,03/09/2024,Citibank,Trader D,Failed,Yes,8569.31,Initial,Failed,
TID00141,OID00141,CID5828,US718014468,AAPL,Buy,237,1025.44,243029.28,USD,2/26/2024,2/24/2024,Morgan Stanley,Trader B,Completed,No,12151.46,Initial,Failed,
TID00142,OID00142,CID8308,US406775814,AAPL,Sell,514,1288.23,662150.22,USD,4/26/2024,4/24/2024,Morgan Stanley,Trader C,Completed,Yes,33107.51,Initial,Pending,
TID00143,OID00143,CID6681,US272145266,MSFT,Buy,258,224.6,57946.8,USD,2/22/2024,2/20/2024,Morgan Stanley,Trader B,Pending,No,2897.34,Variation,Satisfied,
TID00144,OID00144,CID9711,US287699055,META,Sell,697,1227.4,855497.8,USD,04/03/2024,04/01/2024,Goldman Sachs,Trader C,Failed,Yes,42774.89,Initial,Satisfied,
TID00145,OID00145,CID7614,US224908943,BABA,Buy,841,1252.12,1053032.92,USD,4/29/2024,4/27/2024,Goldman Sachs,Trader D,Completed,Yes,52651.65,Variation,Pending,
TID00146,OID00146,CID4574,US400636821,MSFT,Buy,920,647.63,595819.6,EUR,01/06/2024,01/04/2024,JPMorgan,Trader B,Failed,Yes,29790.98,Initial,Pending,
TID00147,OID00147,CID8633,US244143429,AAPL,Sell,860,426.68,366944.8,GBP,2/25/2024,2/23/2024,Citibank,Trader D,Failed,No,18347.24,Initial,Satisfied,
